ticker,code,vol_ratio_1w,eps_growth,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,price_52_week_high,High.All,change|1W,sector,industry
NASDAQ:PLSE,PLSE,1.2030799012271889,-25.06142506142507,50.42,44.5,50.71,42.7,2215738,3596085813.0000005,50.71,50.71,13.20161652447239,Health Technology,Medical Specialties
NYSE:FCX,FCX,1.1993146660058966,27.43029389600602,76.66,66.62,77.33,65.71,83186275,110085103440.0,77.33,77.33,15.29553316288164,Non-Energy Minerals,Other Metals/Minerals
NYSE:DHT,DHT,1.1960077066743553,252.40687679083095,19.82,18.42,20.62,18.27,19102914,3191845280.0,20.62,225.47988,1.5368852459016429,Transportation,Marine Shipping
NYSE:LB,LB,1.1753681591005605,-34.422110552763826,89.71,78.7,91.69,78.125,1978985,6915332222.0,91.69,91.69,14.004320752319222,Commercial Services,Miscellaneous Commercial Services
NASDAQ:TWST,TWST,1.1586576797386754,-268.4763047390522,145.59,116.91,145.93,115.28,10019794,9584541838.0,145.93,214.07,22.788226364173074,Health Technology,Biotechnology
NYSE:A,A,1.1371160597672896,58.78844114528102,159.0,147.81,160.51,147.19,11334399,44906679382.00001,160.51,179.57,7.049080993738638,Health Technology,Medical Specialties
NASDAQ:CYRX,CYRX,1.1255200698492929,24.22661200149086,17.13,15.15,17.2,14.88,3746207,867619062.0000001,17.2,768.3072,12.32786885245901,Transportation,Air Freight/Couriers
NYSE:RVTY,RVTY,1.1220541202089926,-0.8755071535340577,124.75,115.97,124.97,113.69,7939033,13920402809.0,124.97,203.16,6.7699418007531635,Health Technology,Medical Specialties
NYSE:COP,COP,1.1016628357801395,106.83974358974359,134.87,126.15,135.88,125.14,38203948,162024386052.0,135.88,138.49,6.381132670768262,Energy Minerals,Oil & Gas Production
NASDAQ:OMER,OMER,1.062999786533399,,19.27,17.17,19.58,16.9,11131623,1394922830.0,19.58,30.23,12.100058173356592,Health Technology,Pharmaceuticals: Major
NYSE:ECO,ECO,1.0592627819498466,606.3465453239133,64.71,61.77,66.25,61.0,2496454,2481548386.9999995,66.25,66.25,7.331232376845239,Transportation,Marine Shipping
NYSE:DAC,DAC,1.044403814268214,16.863643390154433,149.75,142.52,152.52,142.52,517587,2725983948.0,152.52,563.63986,5.517192784667428,Transportation,Marine Shipping
NASDAQ:ILMN,ILMN,1.0155197512812724,-9.613842864778189,219.4,191.01,220.43,187.541,9481717,33129399078.0,220.43,540.11618218,14.935303054114947,Health Technology,Medical Specialties
NASDAQ:DXCM,DXCM,0.9942722901754844,43.63270777479894,92.34,89.34,92.56,88.145,24726416,34845490115.0,92.56,164.86295,2.8857938718662988,Health Technology,Medical Specialties
NYSE:IQV,IQV,0.977298990041587,-0.36463081130355834,259.82,235.34,260.4,233.76,6921410,42766374791.0,260.4,285.61,9.786191160314374,Health Technology,Biotechnology
NASDAQ:HALO,HALO,0.9510517760318954,42.58758081491505,108.17,98.86,108.49,98.58,9422644,12277078570.999998,108.49,108.49,9.639164808433009,Health Technology,Biotechnology
NASDAQ:MLAB,MLAB,0.9470240528235081,-42.43559718969555,124.76,105.05,124.89,103.94,916340,698140635.9999999,124.89,333.42,17.65371557902678,Health Technology,Medical Specialties
NASDAQ:SSRM,SSRM,0.9423473662489431,11.129848229342318,37.77,32.31,38.4,31.51,15188043,7701654997.0,38.4,48.16,17.33457595526563,Non-Energy Minerals,Precious Metals
NASDAQ:TXG,TXG,0.9282700864103688,-149.74765681326605,65.12,55.74,65.47,55.25,14615975,8484561188.0,65.47,208.99,16.099126403993584,Health Technology,Biotechnology
NYSE:DINO,DINO,0.9177385161365373,350.424618756278,97.32,94.5,97.63,92.18,12008808,17301923643.0,97.63,97.63,3.8966584819045496,Energy Minerals,Oil Refining/Marketing
NASDAQ:ELOX,ELOX,0.909288606258891,96.92775996590004,20.975,18.87,23.3999,16.5,262584,84664728.0,23.3999,23.3999,11.807036247334752,Health Technology,Biotechnology
NYSE:BIO,BIO,0.9034864546806833,18.670642060350602,380.03,359.29,385.92,351.8013,1360894,10187221252.0,385.92,832.7,6.672093414921681,Health Technology,Medical Specialties
NASDAQ:ATRC,ATRC,0.9002341098326463,,48.98,43.75,49.2,43.405,4047038,2491431099.0,49.2,89.18,10.564334085778782,Health Technology,Medical Specialties
NASDAQ:SEIC,SEIC,0.893771415312852,-11.086201098531554,109.53,105.96,109.75,105.29,3023086,13145700672.0,109.75,109.75,2.9610829103214944,Finance,Investment Managers
NYSE:BDX,BDX,0.8850760734418167,-31.440152121697352,192.0,181.89,192.295,180.72,9588569,52298267578.00001,192.295,225.7918586,4.689203925845144,Health Technology,Medical Specialties
NYSE:LPG,LPG,0.8791084601159735,1263.716814159292,51.13,47.62,52.1,47.17,2924840,2187478500.0,52.1,52.1,7.937513194004656,Transportation,Marine Shipping
NYSE:INSW,INSW,0.8692663812296325,374.7512038523274,99.52,97.85,102.36,97.05,2381960,4929355908.0,102.36,102.36,2.5450798557444605,Transportation,Marine Shipping
NYSE:JILL,JILL,0.8677209845881002,-58.799526128735025,20.21,18.88,20.7433,18.2584,321355,302168085.0,20.7433,72.0,6.931216931216944,Retail Trade,Apparel/Footwear Retail
NYSE:MAN,MAN,0.862334782465903,,61.45,57.77,62.45,56.47,5684601,2857767279.0,62.45,136.93,5.403087478559187,Commercial Services,Personnel Services
NYSE:RHI,RHI,0.8397174805258263,-35.38650306748467,44.75,42.69,45.83,42.18,9602151,4580691967.0,45.83,125.77,3.540027764923649,Commercial Services,Personnel Services
NASDAQ:AXGN,AXGN,0.8394522563409975,-334.71074380165294,50.4,48.51,51.06,45.255,5425755,2709580325.0,51.06,56.8499,3.42704699363842,Health Technology,Medical Specialties
NASDAQ:VRTX,VRTX,0.7963922066615322,8.02085422097453,548.05,503.87,555.32,502.53,6183651,138909255340.0,555.32,555.32,8.363816114681159,Health Technology,Pharmaceuticals: Major
NASDAQ:DMLP,DMLP,0.7545824461192259,145.8051689860835,29.02,28.0,29.15,27.86,778250,1424632676.0,29.15,36.49001,4.727535185853478,Miscellaneous,Investment Trusts/Mutual Funds
NASDAQ:TVTX,TVTX,0.7379092898046503,-159.5536959553696,65.71,62.15,66.38,61.619,6664469,6193895341.0,66.38,765.0,5.745091728355316,Health Technology,Pharmaceuticals: Major
NYSE:TDW,TDW,0.7358359609812454,-70.3696084481931,95.25,94.28,97.5,93.15,2708438,4739280850.0,97.5,2513.144,1.0288502333474745,Transportation,Marine Shipping
NYSE:SCHW,SCHW,0.7321742129486769,42.07907105335915,112.3,110.94,112.4,109.55,33421050,194204403642.0,112.4,112.4,1.0892069493203653,Finance,Investment Banks/Brokers
NASDAQ:FLYW,FLYW,0.6923454386237489,32.38578680203045,19.54,18.81,19.59,18.18,7763068,2377386407.0,19.59,57.41,3.8809144072301995,Commercial Services,Miscellaneous Commercial Services
NYSE:KMX,KMX,0.6633846249768066,-5.273465834904975,62.13,59.48,63.0,57.25,10078036,8816935989.0,63.0,155.98,3.688251001335115,Retail Trade,Specialty Stores
NASDAQ:SLDE,SLDE,0.6627814438329332,90.4350952894642,22.74,21.81,23.16,21.51,3770831,2656298527.0,23.16,25.9,3.6935704514363827,Technology Services,Packaged Software
NASDAQ:CORT,CORT,0.6546286654052814,23.912286808214404,122.25,115.0,123.4361,114.385,3648678,13215028948.0,123.4361,123.4361,6.796540578317464,Health Technology,Pharmaceuticals: Major
NYSE:WT,WT,0.6358711973663714,67.69230769230768,23.51,23.14,23.54,22.505,9009301,3562049870.0,23.54,26.23,3.068829460762836,Miscellaneous,Investment Trusts/Mutual Funds
NYSE:WEX,WEX,0.6157207191548453,57.04687815720349,199.93,190.25,200.5475,188.0162,2171521,6813935601.999999,200.5475,244.04,4.249661069976017,Commercial Services,Miscellaneous Commercial Services
NYSE:THC,THC,0.5531723651744801,213.53901070882202,280.77,265.64,280.89,264.29,3421183,22607317957.0,280.89,280.89,4.804031354983205,Health Services,Hospital/Nursing Management
NASDAQ:NEO,NEO,0.49022090588819367,,16.98,15.72,17.075,15.72,7524049,2181512799.0,17.075,225.0,6.524466750313682,Health Services,Medical/Nursing Services
